codigo,descricao,Grupo,Classe
15377,INFRA-ESTRUTURA AEROPORTUARIA - OPERACAO INDUSTRIAL / COMER-CIAL DE AEROPORTO,NAO SE APLICA,INVALIDO
25852,DESENVOLVIMENTO DE NOVO SOFTWARE - JAVA,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25860,DESENVOLVIMENTO E OU EVOLUCAO DE SOFTWATE - PHP,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25879,"DESENVOLVIMENTO E OU EVOLUCAO DE SOFTWATE - FRAMEWORK, .NET,BASIC, ASP, DELPHI, PASCAL E PERL.",SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25887,DESENVOLVIMENTO E OU EVOLUCAO DE SOFTWATE - PYTHON,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25895,DESENVOLVIMENTO E/OU EVOLUCAO DE SOFTWATE - DISPOSITIVOS MOVEIS,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25909,DESENVOLVIMENTO E OU EVOLUCAO DE SOFTWATE - MAINFRAME,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25917,DESENVOLVIMENTO E/OU EVOLUCAO DE SOFTWATE - OUTRAS LINGUAGENS,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE DESENVOLVIMENTO DE SOFTWARE E OU MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25925,MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - JAVA,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25933,MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - PHP,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25941,"MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES)-FRAMEWORK.NET: C#,VISUAL BASIC,ASP,DELPHI, PASCAL",SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25950,MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - PYTHON,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25968,MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - DISPOSITIVOS MOVEIS,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25976,MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - MAINFRAME,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25984,MANUTENCAO EVOLUTIVA DE  SOFTWARE (ACRESCIMO DE NOVAS FUNCIONALIDADES) - OUTRAS LINGUAGENS,SERVI¿S  DE DESENVOLVIMENTO E MANUTEN¿O DE SOFTWARE,SERVIÇOS  DE MANUTENÇÃO EVOLUTIVA DE SOFTWARE
25992,"MANUTENCAO DE SOFTWARE (CORRETIVA, PREVENTIVA, ADAPTATIVA)",SERVI¿S DE MANUTEN¿O E SUSTENTA¿O DE SOFTWARE,SERVIÇOS DE MANUTENÇÃO E SUSTENTAÇÃO DE SOFTWARE
26000,SUSTENTACAO DE SOFTWARE,SERVI¿S DE MANUTEN¿O E SUSTENTA¿O DE SOFTWARE,SERVIÇOS DE MANUTENÇÃO E SUSTENTAÇÃO DE SOFTWARE
26018,DOCUMENTACAO DE SOFTWARE,SERVI¿S DE DOCUMENTA¿O DE SOFTWARE,SERVICOS DE DOCUMENTACAO DE SOFTWARE
26026,ENGENHARIA DE REQUISITOS DE SOFTWARE,SERVI¿S SE ENGENHARIA DE REQUISITOS DE SOFTWARE,SERVIÇOS DE ENGENHARIA DE REQUISITOS DE SOFTWARE
26034,MENSURACAO DE SOFTWARE,SERVI¿S DE MENSURA¿O DE SOFTWARE,SERVIÇOS DE MENSURAÇÃO DE SOFTWARE
26042,QUALIDADE DE SOFTWARE,SERVI¿S DE QUALIDADE DE SOFTWARE,SERVIÇOS DE QUALIDADE DE SOFTWARE
30001,IMPLEMENTACAO AGIL DE SOFTWARE,SERVI¿ DE IMPLEMENTA¿O ¿GIL DE SOFTWARE,SERVIÇO DE IMPLEMENTAÇÃO ÁGIL DE SOFTWARE
26050,INFRAESTRUTURA COMO SERVICO - IAAS,SERVI¿S DE COMPUTA¿O EM NUVEM,INFRAESTRUTURA COMO SERVIÇO - IAAS
30183,CONTEINERES COMO SERVICO - CAAS.,SERVI¿S DE COMPUTA¿O EM NUVEM,INFRAESTRUTURA COMO SERVIÇO - IAAS
26069,PLATAFORMA COMO SERVICO - PAAS,SERVI¿S DE COMPUTA¿O EM NUVEM,PLATAFORMA COMO SERVIÇO - PAAS
26077,SOFTWARE COMO SERVICO - SAAS,SERVI¿S DE COMPUTA¿O EM NUVEM,SOFTWARE COMO SERVIÇO - SAAS
26085,TAXA DE INSTALACAO/HABILITACAO DE SERVICO DE TELEFONIA STFC,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26093,ASSINATURA DE DDR,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26107,ASSINATURA DE RAMAL TELEFONICO,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26115,CHAMADAS LOCAIS FIXO-FIXO STFC-LOCAL-FF,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26123,CHAMADAS LOCAIS FIXO-MOVEL STFC-LOCAL-FM (VC1),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26131,CHAMADAS NACIONAIS FIXO-FIXO STFC-LDN-FF (DEGRAUS 1 A 4),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26140,CHAMADAS NACIONAIS FIXO-MOVEL - STFC-LDN-FM (VC2 E VC3),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26166,TAXA DE INSTALAÇÃO LINK DE INTERNET - STFC (BANDA LARGA),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26174,ACESSO A INTERNET - STFC (BANDA LARGA),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26182,ASSINATURA DE LINHA ANALOGICA,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26190,TAXA INSTALACAO DO SERVIÇO DE DISCAGEM DIRETA GRATUITA (DDG),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26204,ASSINATURA DO SERVIÇO DE DISCAGEM DIRETA GRATUITA (DDG),"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26212,DISCAGEM DIRETA GRATUITA (DDG) - FIXO LOCAL,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26220,DISCAGEM DIRETA GRATUITA (DDG) - FIXO INTER-ESTADUAL,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26239,DISCAGEM DIRETA GRATUITA (DDG) - MOVEL LOCAL,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
26247,DISCAGEM DIRETA GRATUITA (DDG) - MOVEL INTER-ESTADUAL,"SERVI¿S DE TELEFONIA  FIXA COMUTADA  (STFC),  TELECOMUNICA-¿ES M¿EIS (SMP) E TELECOMUNICA¿ES SATELITAIS",SERVIÇOS DE TELEFONIA FIXA COMUTADA (STFC)
