substancia,ean,produto,pmvg
21-ACETATO DE DEXAMETASONA;CLOTRIMAZOL,    -     ,Novo,"27,29"
ABATACEPTE,    -     ,Biológico,"2114,37"
ABATACEPTE,    -     ,Biológico,"6714,31*"
ABEMACICLIBE,    -     ,Novo,"2839,08"
ABEMACICLIBE,    -     ,Novo,"5678,13"
ABEMACICLIBE,    -     ,Novo,"8153,32"
ABEMACICLIBE,    -     ,Novo,"16306,63"
ABEMACICLIBE,    -     ,Novo,"10182,07"
ABEMACICLIBE,    -     ,Novo,"20364,13"
ABROCITINIBE,    -     ,Novo,"2232,08"
ABROCITINIBE,    -     ,Novo,"4464,17"
ABROCITINIBE,    -     ,Novo,"6448,53"
ACALABRUTINIBE,    -     ,Novo,"39187,61"
ACARBOSE,    -     ,Similar,"26,81"
ACARBOSE,    -     ,Similar,"40,70"
ACEBROFILINA,    -     ,Genérico,"18,90"
ACEBROFILINA,    -     ,Genérico,"26,63"
ACEBROFILINA,    -     ,Novo,"18,90"
ACEBROFILINA,    -     ,Similar,"19,59"
ACEBROFILINA,    -     ,Similar,"26,83"
ACEBROFILINA,    -     ,Genérico,"18,86"
ACEBROFILINA,    -     ,Genérico,"26,63"
ACEBROFILINA,    -     ,Genérico,"18,86"
ACEBROFILINA,    -     ,Genérico,"26,63"
ACEBROFILINA,    -     ,Genérico,"26,35"
ACEBROFILINA,    -     ,Genérico,"18,90"
ACEBROFILINA,    -     ,Similar,"25,10"
ACEBROFILINA,    -     ,Similar,"18,79"
ACEBROFILINA,    -     ,Similar,"22,56"
ACEBROFILINA,    -     ,Similar,"27,22"
ACEBROFILINA,    -     ,Similar,"32,66"
ACEBROFILINA,    -     ,Genérico,"15,36"
ACEBROFILINA,    -     ,Genérico,"18,28"
ACEBROFILINA,    -     ,Similar,"33,26"
ACEBROFILINA,    -     ,Similar,"24,98"
ACEBROFILINA,    -     ,Similar,"16,66"
ACEBROFILINA,    -     ,Similar,"12,48"
ACEBROFILINA,    -     ,Similar,"45,65"
ACEBROFILINA,    -     ,Similar,"30,81"
ACEBROFILINA,    -     ,Similar,"22,79"
ACEBROFILINA,    -     ,Similar,"15,43"
ACEBROFILINA,    -     ,Genérico,"19,11"
ACEBROFILINA,    -     ,Genérico,"27,06"
ACEBROFILINA,    -     ,Genérico,"19,11"
ACEBROFILINA,    -     ,Genérico,"27,06"
ACEBROFILINA,    -     ,Genérico,"19,13"
ACEBROFILINA,    -     ,Genérico,"26,07"
ACEBROFILINA,    -     ,Similar,"23,77"
ACEBROFILINA,    -     ,Similar,"17,03"
ACEBROFILINA,    -     ,Genérico,"20,06"
ACEBROFILINA,    -     ,Genérico,"29,68"
ACEBROFILINA,    -     ,Genérico,"575,50"
ACEBROFILINA,    -     ,Genérico,"25,02"
ACEBROFILINA,    -     ,Genérico,"18,04"
ACEBROFILINA,    -     ,Genérico,"468,09"
ACEBROFILINA,    -     ,Genérico,"457,97"
ACEBROFILINA,    -     ,Similar,"36,55"
ACEBROFILINA,    -     ,Similar,"26,23"
ACEBROFILINA,    -     ,Genérico,"29,62"
ACEBROFILINA,    -     ,Genérico,"20,03"
ACEBROFILINA,    -     ,Genérico,"18,83"
ACEBROFILINA,    -     ,Genérico,"25,56"
ACEBROFILINA,    -     ,Similar,"19,87"
ACEBROFILINA,    -     ,Similar,"27,06"
ACEBROFILINA,    -     ,Similar,"20,91"
ACEBROFILINA,    -     ,Similar,"30,16"
ACECLOFENACO,    -     ,Novo,"29,35"
ACECLOFENACO,    -     ,Novo,"49,12"
ACECLOFENACO,    -     ,Novo,"23,67"
ACECLOFENACO,    -     ,Genérico,"31,35"
ACECLOFENACO,    -     ,Genérico,"31,92"
ACECLOFENACO,    -     ,Genérico,"28,81"
ACECLOFENACO,    -     ,Genérico,"20,10"
ACECLOFENACO,    -     ,Genérico,"30,17"
ACECLOFENACO,    -     ,Genérico,"60,28"
ACECLOFENACO,    -     ,Genérico,"31,92"
ACECLOFENACO,    -     ,Genérico,"63,84"
ACECLOFENACO,    -     ,Similar,"15,97"
ACECLOFENACO,    -     ,Similar,"31,92"
ACECLOFENACO,    -     ,Similar,"42,55"
ACECLOFENACO,    -     ,Similar,"63,84"
ACECLOFENACO,    -     ,Similar,"15,97"
ACECLOFENACO,    -     ,Similar,"31,92"
ACECLOFENACO,    -     ,Similar,"42,55"
ACECLOFENACO,    -     ,Similar,"63,84"
ACECLOFENACO,    -     ,Genérico,"29,68"
ACECLOFENACO,    -     ,Genérico,"55,55"
ACECLOFENACO,    -     ,Genérico,"29,35"
ACECLOFENACO,    -     ,Genérico,"31,89"
ACECLOFENACO,    -     ,Similar,"37,89"
ACEPONATO DE METILPREDNISOLONA,    -     ,Novo,"48,68"
ACEPONATO DE METILPREDNISOLONA,    -     ,Novo,"66,68"
ACEPONATO DE METILPREDNISOLONA,    -     ,Novo,"62,37"
ACETATO DE ABIRATERONA,    -     ,Similar,"10978,82"
ACETATO DE ABIRATERONA,    -     ,Similar,"11235,27"
ACETATO DE ABIRATERONA,    -     ,Genérico,"7392,84"
ACETATO DE ABIRATERONA,    -     ,Similar,"10210,72"
ACETATO DE ABIRATERONA,    -     ,Genérico,"7392,75"
ACETATO DE ABIRATERONA,    -     ,Similar,"10046,24"
ACETATO DE ABIRATERONA,    -     ,Novo,"11373,63"
ACETATO DE ABIRATERONA,    -     ,Novo,"11373,63"
ACETATO DE ABIRATERONA,    -     ,Similar,"11123,69"
ACETATO DE ABIRATERONA,    -     ,Genérico,"7392,82"
ACETATO DE ABIRATERONA,    -     ,Similar,"7392,82"
ACETATO DE ABIRATERONA,    -     ,Genérico,"7392,30"
ACETATO DE ABIRATERONA,    -     ,Genérico,"7392,86*"
ACETATO DE ABIRATERONA,    -     ,Similar,"11372,66"
ACETATO DE ABIRATERONA,    -     ,Similar,"10520,57"
ACETATO DE ABIRATERONA,    -     ,Genérico,"7392,85"
ACETATO DE ATOSIBANA,    -     ,Novo,"274,45"
ACETATO DE ATOSIBANA,    -     ,Novo,"853,45"
ACETATO DE ATOSIBANA,    -     ,Genérico,"543,38"
ACETATO DE BAZEDOXIFENO;ESTROGÊNIOS CONJUGADOS,    -     ,Biológico,"64,21"
ACETATO DE CASPOFUNGINA,    -     ,Similar,"3954,68"
ACETATO DE CASPOFUNGINA,    -     ,Similar,"5094,47"
ACETATO DE CASPOFUNGINA,    -     ,Novo,"3954,68"
ACETATO DE CASPOFUNGINA,    -     ,Novo,"5094,47"
ACETATO DE CASPOFUNGINA,    -     ,Genérico,"2570,54"
ACETATO DE CASPOFUNGINA,    -     ,Genérico,"3311,40"
ACETATO DE CASPOFUNGINA,    -     ,Similar,"3954,68"
ACETATO DE CASPOFUNGINA,    -     ,Similar,"5094,47"
ACETATO DE CETRORRELIX,    -     ,Novo,"263,56"
ACETATO DE CIPROTERONA,    -     ,Genérico,"93,05*"
ACETATO DE CIPROTERONA,    -     ,Novo,"149,88*"
ACETATO DE CIPROTERONA,    -     ,Novo,"282,22*"
ACETATO DE CIPROTERONA,7891106913904,Novo,"149,88*"
ACETATO DE CIPROTERONA,    -     ,Novo,"282,22"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"22,34"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"46,13"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"15,35"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"37,06"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"14,20"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"35,79"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"17,91"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"53,74"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"14,37"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"43,11"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"17,14"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"14,37"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"43,12"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"16,82"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"35,81"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"18,32"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"41,56"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"16,79"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"35,70"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"22,21"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"64,78"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"18,11"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"14,34"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"35,81"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"18,35"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"55,07"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"21,43"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Similar,"64,30"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"14,37"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"43,12"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Novo,"25,86"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Novo,"55,09"
ACETATO DE CIPROTERONA;ETINILESTRADIOL,    -     ,Genérico,"16,79"
ACETATO DE CIPROTERONA;VALERATO DE ESTRADIOL,    -     ,Novo,"25,82"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"26,73"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"29,95"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"85,00"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"26,73"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"53,43"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"80,17"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"106,89"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"38,39"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"76,77"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"115,18"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"153,56"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"36,37"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"36,37"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"38,92"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"77,83"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"116,76"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"155,67"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"26,73"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"53,43"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"80,17"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"106,89"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Genérico,"26,73"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"40,83"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"112,29"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"38,92"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"77,83"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"116,76"
ACETATO DE CLORMADINONA;ETINILESTRADIOL,    -     ,Similar,"155,67"
