classe,codigo,descricao,unidade,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
Acessibilidade,104658,"PISO PODOTÁTIL DE ALERTA OU DIRECIONAL, DE CONCRETO, ASSENTADO SOBRE ARGAMASSA. AF_03/2024",M2,0.2034,0.2877,0.2417,0.2196,0.3143,0.306,0.2791,0.3088,0.2765,0.312,0.3179,0.2676,0.2288,0.294,0.3098,0.3138,0.3096,0.4176,0.3694,0.2919,0.2611,0.199,0.3223,0.3705,0.283,0.3206,0.2367
Acessibilidade,105002,"RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA NOVA COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024",UN,0.3568,0.4466,0.4357,0.3478,0.4741,0.4827,0.4712,0.5381,0.4562,0.4442,0.4867,0.4762,0.4137,0.4187,0.4484,0.4703,0.4047,0.5648,0.589,0.4549,0.4136,0.3666,0.4982,0.5106,0.444,0.582,0.4127
Acessibilidade,105004,"RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA NOVA COM LARGURA MENOR À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024",M2,0.3573,0.4554,0.4402,0.3499,0.4798,0.4917,0.4764,0.5476,0.4644,0.449,0.491,0.4829,0.4213,0.422,0.4564,0.4773,0.4062,0.5679,0.5983,0.4659,0.4142,0.3675,0.5028,0.5126,0.4527,0.5942,0.4191
Acessibilidade,105003,"RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA PRÉ EXISTENTE COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024",UN,0.4814,0.556,0.5597,0.4571,0.6026,0.5981,0.5802,0.6416,0.5652,0.5596,0.597,0.5893,0.5253,0.529,0.5506,0.5796,0.5159,0.6684,0.6941,0.5701,0.5334,0.4856,0.6191,0.6193,0.555,0.6863,0.5255
Acessibilidade,105005,"RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA PRÉ EXISTENTE COM LARGURA MENOR À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024",M2,0.4877,0.5678,0.5684,0.4641,0.6121,0.6097,0.5888,0.6524,0.5764,0.5686,0.6049,0.5991,0.5366,0.5366,0.5616,0.5899,0.522,0.6748,0.7043,0.5835,0.5393,0.4921,0.6273,0.6254,0.5667,0.6985,0.5358
Acessibilidade,105000,"RAMPA DE ACESSIBILIDADE PARA ACESSO A EDIFICAÇÕES COM INCLINAÇÃO DE 8,33% EM CONCRETO MOLDADO IN LOCO, COM LARGURA DE 1,20M, FCK 25MPA, NÃO ARMADA, COM JUNTA A CADA 2M COM CORTE À SECO. AF_03/2024",M,0.2968,0.3294,0.3573,0.2933,0.3298,0.3491,0.3551,0.327,0.3431,0.3422,0.3253,0.3222,0.3242,0.3469,0.3242,0.3668,0.3194,0.4134,0.4179,0.3505,0.3074,0.328,0.3472,0.3699,0.3253,0.4017,0.3033
Acessibilidade,105001,"RAMPA DE ACESSIBILIDADE PARA ACESSO A EDIFICAÇÕES COM INCLINAÇÃO DE 8,33% EM CONCRETO MOLDADO IN LOCO, COM LARGURA DE 1,50M, FCK 25MPA, NÃO ARMADA, COM JUNTA A CADA 2M COM CORTE À SECO. AF_03/2024",M,0.2841,0.3249,0.3485,0.2857,0.3259,0.3449,0.3499,0.3234,0.3378,0.3368,0.3221,0.3174,0.3179,0.34,0.32,0.3618,0.3137,0.4095,0.4133,0.345,0.3014,0.3187,0.3427,0.3653,0.3211,0.398,0.2983
Alvenaria Estrutural - Blocos Cerâmicos,89306,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO COLHER DE PEDREIRO E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_03/2023",M2,0.4615,0.464,0.5292,0.4319,0.5311,0.5309,0.4858,0.5571,0.4443,0.5048,0.5421,0.4775,0.4535,0.5105,0.4749,0.5664,0.4687,0.6159,0.5941,0.5161,0.5074,0.5273,0.5253,0.5188,0.5659,0.5945,0.4495
Alvenaria Estrutural - Blocos Cerâmicos,89307,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO COLHER DE PEDREIRO E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_03/2023",M2,0.4751,0.4792,0.5402,0.4446,0.5369,0.5414,0.498,0.568,0.4574,0.5183,0.5532,0.4888,0.4672,0.523,0.4899,0.5809,0.4796,0.6269,0.6056,0.5306,0.5219,0.5403,0.5352,0.5268,0.5775,0.6071,0.4627
Alvenaria Estrutural - Blocos Cerâmicos,89290,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO PALHETA E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_03/2023",M2,0.3962,0.3941,0.4612,0.3651,0.4634,0.4619,0.4164,0.4868,0.3741,0.4369,0.4737,0.4069,0.3839,0.4437,0.4055,0.5029,0.3996,0.5489,0.5249,0.4452,0.4403,0.4606,0.4552,0.4476,0.5006,0.5244,0.3814
Alvenaria Estrutural - Blocos Cerâmicos,89291,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO PALHETA E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_03/2023",M2,0.4096,0.4092,0.4723,0.3775,0.4693,0.4727,0.4286,0.4981,0.3869,0.4505,0.4852,0.418,0.3974,0.4564,0.4206,0.5179,0.4103,0.5608,0.5372,0.46,0.455,0.4738,0.4652,0.4558,0.5126,0.5379,0.3944
Alvenaria Estrutural - Blocos Cerâmicos,89298,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39, (ESPESSURA DE 14 CM), UTILIZANDO COLHER DE PEDREIRO E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_03/2023",M2,0.3891,0.3899,0.4556,0.3598,0.458,0.4571,0.4111,0.4829,0.37,0.4305,0.4684,0.4029,0.3799,0.4376,0.4,0.4944,0.3951,0.5432,0.5199,0.441,0.4334,0.4529,0.4509,0.4436,0.493,0.52,0.3768
Alvenaria Estrutural - Blocos Cerâmicos,89299,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39, (ESPESSURA DE 14 CM), UTILIZANDO COLHER DE PEDREIRO E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_03/2023",M2,0.4046,0.4074,0.4685,0.3741,0.4647,0.4696,0.4252,0.496,0.3848,0.4463,0.4816,0.4158,0.3956,0.4522,0.4173,0.5118,0.4074,0.5569,0.5341,0.4581,0.4504,0.4682,0.4625,0.4532,0.507,0.5355,0.3916
Alvenaria Estrutural - Blocos Cerâmicos,89282,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39, (ESPESSURA DE 14 CM), UTILIZANDO PALHETA E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_03/2023",M2,0.3334,0.3305,0.3954,0.304,0.3979,0.3959,0.3513,0.4197,0.311,0.3713,0.4074,0.3425,0.3211,0.3791,0.3407,0.4371,0.3361,0.4809,0.4565,0.3791,0.3748,0.3939,0.3891,0.3811,0.4341,0.4557,0.3194
Alvenaria Estrutural - Blocos Cerâmicos,89283,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39, (ESPESSURA DE 14 CM), UTILIZANDO PALHETA E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_03/2023",M2,0.3478,0.347,0.4078,0.3171,0.4044,0.408,0.3647,0.4325,0.3246,0.3864,0.4203,0.3545,0.3358,0.3931,0.3569,0.4542,0.3475,0.4947,0.4706,0.3954,0.3912,0.4086,0.4002,0.3902,0.4477,0.4712,0.3333
Alvenaria Estrutural - Blocos de Concreto,89480,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",M2,0.2976,0.3873,0.3901,0.3202,0.4487,0.3754,0.3621,0.4136,0.3654,0.3565,0.3801,0.3663,0.3565,0.38,0.3171,0.3829,0.4058,0.4793,0.5028,0.3491,0.3452,0.3536,0.3479,0.3892,0.3889,0.4495,0.3389
Alvenaria Estrutural - Blocos de Concreto,89464,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 14,0 MPA, UTILIZANDO PALHETA. AF_10/2022",M2,0.2365,0.3168,0.3187,0.2566,0.3758,0.3045,0.2927,0.3389,0.2958,0.2884,0.3091,0.2962,0.2882,0.3105,0.2523,0.3127,0.3348,0.4024,0.4253,0.2801,0.2783,0.2863,0.2788,0.3168,0.3179,0.3722,0.2726
Alvenaria Estrutural - Blocos de Concreto,89478,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",M2,0.3254,0.4197,0.4214,0.3507,0.479,0.4069,0.3906,0.4451,0.3954,0.3878,0.4116,0.3983,0.3889,0.4102,0.3468,0.4117,0.4388,0.5143,0.5318,0.3827,0.377,0.3888,0.381,0.4229,0.4209,0.4827,0.3679
Alvenaria Estrutural - Blocos de Concreto,89462,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO PALHETA. AF_10/2022",M2,0.261,0.3467,0.348,0.2834,0.406,0.3335,0.3194,0.3689,0.3235,0.3167,0.3382,0.3254,0.3171,0.3389,0.2784,0.3402,0.3656,0.4364,0.4553,0.3097,0.3066,0.3171,0.3082,0.3477,0.3476,0.404,0.299
